"Year","avgb","source"
"2010",70722.1790658535,"original"
"2010",78955.7624049634,"original"
"2010",64930.4302235228,"original"
"2010",63800.8456217879,"original"
"2010",68507.3615181328,"original"
"2010",49610.4256639646,"original"
"2010",59141.4058037999,"original"
"2010",57706.1363912596,"original"
"2010",52238.9834554634,"original"
"2010",49777.6175494631,"original"
"2010",65397.3511219885,"original"
"2010",69666.2747965462,"original"
"2010",71242.3292998364,"original"
"2010",65190.5706666778,"original"
"2010",61453.1718798299,"original"
"2010",44341.6125444419,"original"
"2010",44545.0606830916,"original"
"2010",81994.8373995856,"original"
"2010",69113.1652656502,"original"
"2010",69236.1356223767,"original"
"2010",74773.6487059167,"original"
"2010",55298.2203126117,"original"
"2010",62008.2323892843,"original"
"2010",59452.8264034078,"original"
"2010",44760.0827109789,"original"
"2010",61857.4929819456,"original"
"2010",63073.3042923181,"original"
"2010",70152.7620814511,"original"
"2010",58157.6714881744,"original"
"2010",67838.9818918376,"original"
"2010",50307.2552724624,"original"
"2010",55524.6823469895,"original"
"2010",55010.0673602446,"original"
"2010",65152.6104916916,"original"
"2010",73810.0445797718,"original"
"2010",61396.9690964283,"original"
"2010",59827.4222409463,"original"
"2010",57404.6286971249,"original"
"2010",46859.5321976344,"original"
"2010",60790.1948832042,"original"
"2010",71165.7254772114,"original"
"2010",68348.5945460217,"original"
"2010",51136.5878315542,"original"
"2010",60633.2538911303,"original"
"2010",71525.7885953317,"original"
"2010",47645.3270332762,"original"
"2010",61484.9958735714,"original"
"2010",59391.4327540302,"original"
"2010",96673.1356457397,"original"
"2010",57134.5817592895,"original"
"2010",55188.9795966907,"original"
"2010",83870.0054187559,"original"
"2010",47463.8370207349,"original"
"2010",82653.9383274456,"original"
"2010",54828.0677831631,"original"
"2010",66504.0945672965,"original"
"2010",59580.7838909647,"original"
"2010",80787.9160716431,"original"
"2010",55394.5873583584,"original"
"2010",68186.0029948962,"original"
"2010",50706.8759821036,"original"
"2010",60244.3352893899,"original"
"2010",67751.8453200325,"original"
"2010",64453.8737560368,"original"
"2010",78275.2704150249,"original"
"2010",55039.3104890141,"original"
"2010",70512.5729462023,"original"
"2010",59000.7316091517,"original"
"2010",61983.0015868889,"original"
"2010",50627.9478144395,"original"
"2010",56331.5991675051,"original"
"2010",53591.9579013768,"original"
"2010",67561.0449321948,"original"
"2010",66121.0164757385,"original"
"2010",61584.4595706538,"original"
"2010",72442.2569060006,"original"
"2010",57030.094392774,"original"
"2010",65624.0644714536,"original"
"2010",59922.8756099311,"original"
"2010",56074.0077476948,"original"
"2010",59327.0312867718,"original"
"2010",70601.9111735445,"original"
"2010",65838.3984202834,"original"
"2010",68710.1090090894,"original"
"2010",68638.4531661525,"original"
"2010",56449.4124928359,"original"
"2010",69865.3821314591,"original"
"2010",49575.3812476179,"original"
"2010",70404.5920391211,"original"
"2010",56586.1888466535,"original"
"2010",56123.6635975665,"original"
"2010",72036.6601391191,"original"
"2010",51567.4438825755,"original"
"2010",67042.979833432,"original"
"2010",68167.6758021314,"original"
"2010",62515.0067155405,"original"
"2010",54742.3430939874,"original"
"2010",59646.3994921214,"original"
"2010",66820.2906907976,"original"
"2010",56199.5253067064,"original"
"2010",69237.1204547146,"original"
"2010",61171.3232587444,"original"
"2010",77842.6475128612,"original"
"2010",70174.307921164,"original"
"2010",53109.7796514943,"original"
"2010",81094.6046351381,"original"
"2010",59876.6801612774,"original"
"2010",63529.6106679367,"original"
"2010",72960.7425629455,"original"
"2010",57063.5420042444,"original"
"2010",58831.3578590143,"original"
"2010",70642.2745466376,"original"
"2010",71345.2955043454,"original"
"2010",64038.5751993652,"original"
"2010",62334.0435056088,"original"
"2010",61530.1127660276,"original"
"2010",75268.9821299318,"original"
"2010",80933.8477569594,"original"
"2010",58015.9888419988,"original"
"2010",54954.8288983303,"original"
"2010",50971.432214219,"original"
"2010",51126.6409877594,"original"
"2010",74059.5898625708,"original"
"2010",65292.6681883268,"original"
"2010",59578.345814439,"original"
"2010",79558.320907673,"original"
"2010",58906.8834526811,"original"
"2010",42713.3599469729,"original"
"2010",57794.3830054522,"original"
"2010",58285.5362909843,"original"
"2010",47252.5905270888,"original"
"2010",66746.3849843511,"original"
"2010",58122.672058239,"original"
"2010",67791.7652876182,"original"
"2010",62390.7225619603,"original"
"2010",82581.55391712,"original"
"2010",49132.4298079807,"original"
"2010",51173.6625289486,"original"
"2010",107868.890143226,"original"
"2010",64407.8769531596,"original"
"2010",73846.5290245765,"original"
"2010",43504.4249427856,"original"
"2010",68153.0739319659,"original"
"2010",63503.110129214,"original"
"2010",66279.1330896232,"original"
"2010",71644.5217598468,"original"
"2010",67469.2219001922,"original"
"2010",74064.355288789,"original"
"2010",57974.1196943558,"original"
"2010",55243.4255672501,"original"
"2010",51455.060089641,"original"
"2010",70021.1226082825,"original"
"2010",56656.7927043213,"original"
"2010",59905.6382189607,"original"
"2010",60219.2964782916,"original"
"2010",61335.4665192976,"original"
"2010",50748.795612272,"original"
"2010",57058.60590972,"original"
"2010",54043.4528220005,"original"
"2010",64527.0998139997,"original"
"2010",57861.1448648239,"original"
"2010",57744.3454025406,"original"
"2010",54731.7066684468,"original"
"2010",45614.0002782355,"original"
"2010",71576.6484218721,"original"
"2010",75368.7600761233,"original"
"2010",53478.2955524833,"original"
"2010",55181.6326350572,"original"
"2010",56936.6571171923,"original"
"2010",78057.2737063037,"original"
"2010",63271.7180877411,"original"
"2010",63189.9582983506,"original"
"2010",70662.4454027379,"original"
"2010",66054.7959058582,"original"
"2010",68990.3114803027,"original"
"2010",79458.3936931943,"original"
"2010",63388.1638747628,"original"
"2010",53364.4681212034,"original"
"2010",48543.0051754101,"original"
"2010",77990.7189600465,"original"
"2010",82012.6376574914,"original"
"2010",82718.1751139687,"original"
"2010",68959.4665877786,"original"
"2010",74194.2514725452,"original"
"2010",72988.7454480723,"original"
"2010",58834.808231042,"original"
"2010",60895.9367525965,"original"
"2010",70077.33925168,"original"
"2010",55721.150247575,"original"
"2010",58628.2017491432,"original"
"2010",93741.4057117693,"original"
"2010",68419.7301096196,"original"
"2010",43048.2548211512,"original"
"2010",59574.7314414159,"original"
"2010",52722.6209051912,"original"
"2010",40196.4530569116,"original"
"2010",51264.1671121384,"original"
"2010",61861.1717477203,"original"
"2010",74212.8860178053,"original"
"2010",67141.2006849693,"original"
"2010",74206.324013935,"original"
"2010",54459.825634357,"original"
"2010",60235.3683521268,"original"
"2010",87997.416375517,"original"
"2010",59977.8331299539,"original"
"2010",54187.1811865273,"original"
